  # ENERGY    1:total     
  -0.50000    0.54600465
  -0.49800    0.81252402
  -0.49600    0.96355420
  -0.49400    1.07373190
  -0.49200    1.17483413
  -0.49000    1.26533735
  -0.48800    1.34957123
  -0.48600    1.43453074
  -0.48400    1.51649749
  -0.48200    1.58916736
  -0.48000    1.65747452
  -0.47800    1.72792888
  -0.47600    1.79952991
  -0.47400    1.86725998
  -0.47200    1.92894089
  -0.47000    1.98907351
  -0.46800    2.05184531
  -0.46600    2.11651421
  -0.46400    2.17889357
  -0.46200    2.23591638
  -0.46000    2.29045463
  -0.45800    2.34612370
  -0.45600    2.40383554
  -0.45400    2.46305227
  -0.45200    2.52108312
  -0.45000    2.57543373
  -0.44800    2.62770653
  -0.44600    2.68045115
  -0.44400    2.73453259
  -0.44200    2.79001570
  -0.44000    2.84652567
  -0.43800    2.90197420
  -0.43600    2.95433092
  -0.43400    3.00506902
  -0.43200    3.05649972
  -0.43000    3.10939050
  -0.42800    3.16370726
  -0.42600    3.21902847
  -0.42400    3.27454519
  -0.42200    3.32890034
  -0.42000    3.38153744
  -0.41800    3.43388700
  -0.41600    3.48732877
  -0.41400    3.54214358
  -0.41200    3.59829092
  -0.41000    3.65560675
  -0.40800    3.71356082
  -0.40600    3.77108026
  -0.40400    3.82762003
  -0.40200    3.88422871
  -0.40000    3.94193935
  -0.39800    4.00111008
  -0.39600    4.06180668
  -0.39400    4.12403917
  -0.39200    4.18779230
  -0.39000    4.25259590
  -0.38800    4.31769609
  -0.38600    4.38318920
  -0.38400    4.45015287
  -0.38200    4.51929808
  -0.38000    4.59077120
  -0.37800    4.66472483
  -0.37600    4.74133539
  -0.37400    4.82082319
  -0.37200    4.90325022
  -0.37000    4.98827267
  -0.36800    5.07612038
  -0.36600    5.16826820
  -0.36400    5.26602745
  -0.36200    5.36994314
  -0.36000    5.48072100
  -0.35800    5.59971952
  -0.35600    5.72889090
  -0.35400    5.87062645
  -0.35200    6.02784777
  -0.35000    6.20730591
