# Energy [eV]  Re_eps_xx  Im_eps_xx
   0.013610  0.133856E+02  0.165575E+00
   0.040820  0.133869E+02  0.168132E+00
   0.068030  0.133897E+02  0.170751E+00
   0.095240  0.133937E+02  0.173434E+00
   0.122450  0.133992E+02  0.176185E+00
   0.149660  0.134059E+02  0.179004E+00
   0.176870  0.134141E+02  0.181894E+00
   0.204090  0.134236E+02  0.184859E+00
   0.231300  0.134346E+02  0.187899E+00
   0.258510  0.134469E+02  0.191019E+00
   0.285720  0.134606E+02  0.194220E+00
   0.312930  0.134757E+02  0.197507E+00
   0.340140  0.134923E+02  0.200882E+00
   0.367350  0.135103E+02  0.204348E+00
   0.394570  0.135297E+02  0.207910E+00
   0.421780  0.135506E+02  0.211570E+00
   0.448990  0.135730E+02  0.215333E+00
   0.476200  0.135969E+02  0.219201E+00
   0.503410  0.136224E+02  0.223181E+00
   0.530620  0.136493E+02  0.227275E+00
   0.557830  0.136779E+02  0.231490E+00
   0.585040  0.137080E+02  0.235829E+00
   0.612260  0.137397E+02  0.240300E+00
   0.639470  0.137731E+02  0.244905E+00
   0.666680  0.138082E+02  0.249650E+00
   0.693890  0.138450E+02  0.254544E+00
   0.721100  0.138835E+02  0.259590E+00
   0.748310  0.139237E+02  0.264798E+00
   0.775520  0.139658E+02  0.270173E+00
   0.802740  0.140098E+02  0.275726E+00
   0.829950  0.140556E+02  0.281461E+00
   0.857160  0.141033E+02  0.287388E+00
   0.884370  0.141531E+02  0.293516E+00
   0.911580  0.142048E+02  0.299855E+00
   0.938790  0.142586E+02  0.306416E+00
   0.966000  0.143146E+02  0.313209E+00
   0.993220  0.143728E+02  0.320249E+00
   1.020430  0.144332E+02  0.327543E+00
   1.047640  0.144960E+02  0.335107E+00
   1.074850  0.145611E+02  0.342955E+00
   1.102060  0.146287E+02  0.351103E+00
   1.129270  0.146988E+02  0.359568E+00
   1.156480  0.147715E+02  0.368365E+00
   1.183700  0.148470E+02  0.377519E+00
   1.210910  0.149253E+02  0.387042E+00
   1.238120  0.150064E+02  0.396960E+00
   1.265330  0.150905E+02  0.407296E+00
   1.292540  0.151778E+02  0.418076E+00
   1.319750  0.152682E+02  0.429327E+00
   1.346960  0.153621E+02  0.441079E+00
   1.374180  0.154594E+02  0.453370E+00
   1.401390  0.155603E+02  0.466225E+00
   1.428600  0.156651E+02  0.479687E+00
   1.455810  0.157737E+02  0.493798E+00
   1.483020  0.158865E+02  0.508603E+00
   1.510230  0.160035E+02  0.524154E+00
   1.537440  0.161251E+02  0.540503E+00
   1.564660  0.162514E+02  0.557720E+00
   1.591870  0.163827E+02  0.575857E+00
   1.619080  0.165191E+02  0.594994E+00
   1.646290  0.166610E+02  0.615213E+00
   1.673500  0.168086E+02  0.636605E+00
   1.700710  0.169623E+02  0.659271E+00
   1.727920  0.171224E+02  0.683322E+00
   1.755130  0.172893E+02  0.708887E+00
   1.782350  0.174635E+02  0.736118E+00
   1.809560  0.176452E+02  0.765156E+00
   1.836770  0.178351E+02  0.796193E+00
   1.863980  0.180336E+02  0.829437E+00
   1.891190  0.182414E+02  0.865124E+00
   1.918400  0.184590E+02  0.903529E+00
   1.945610  0.186873E+02  0.944966E+00
   1.972830  0.189271E+02  0.989818E+00
   2.000040  0.191791E+02  0.103848E+01
   2.027250  0.194443E+02  0.109147E+01
   2.054460  0.197241E+02  0.114938E+01
   2.081670  0.200195E+02  0.121291E+01
   2.108880  0.203320E+02  0.128293E+01
   2.136090  0.206633E+02  0.136045E+01
   2.163310  0.210153E+02  0.144677E+01
   2.190520  0.213899E+02  0.154339E+01
   2.217730  0.217897E+02  0.165229E+01
   2.244940  0.222176E+02  0.177591E+01
   2.272150  0.226767E+02  0.191744E+01
   2.299360  0.231709E+02  0.208096E+01
   2.326570  0.237045E+02  0.227193E+01
   2.353790  0.242827E+02  0.249774E+01
   2.381000  0.249104E+02  0.276823E+01
   2.408210  0.255934E+02  0.309739E+01
   2.435420  0.263361E+02  0.350480E+01
   2.462630  0.271401E+02  0.401816E+01
   2.489840  0.279981E+02  0.467582E+01
   2.517050  0.288849E+02  0.552724E+01
   2.544270  0.297410E+02  0.662509E+01
   2.571480  0.304599E+02  0.799657E+01
   2.598690  0.309046E+02  0.960176E+01
   2.625900  0.309669E+02  0.113059E+02
   2.653110  0.306436E+02  0.129184E+02
   2.680320  0.300535E+02  0.142928E+02
   2.707530  0.293586E+02  0.154001E+02
   2.734750  0.286665E+02  0.163033E+02
   2.761960  0.280080E+02  0.170771E+02
   2.789170  0.273722E+02  0.177640E+02
   2.816380  0.267490E+02  0.183734E+02
   2.843590  0.261440E+02  0.189066E+02
   2.870800  0.255689E+02  0.193722E+02
   2.898010  0.250313E+02  0.197827E+02
   2.925220  0.245364E+02  0.201513E+02
   2.952440  0.240853E+02  0.204934E+02
   2.979650  0.236733E+02  0.208209E+02
   3.006860  0.232946E+02  0.211408E+02
   3.034070  0.229447E+02  0.214574E+02
   3.061280  0.226199E+02  0.217732E+02
   3.088490  0.223189E+02  0.220891E+02
   3.115700  0.220428E+02  0.224071E+02
   3.142920  0.217932E+02  0.227314E+02
   3.170130  0.215713E+02  0.230673E+02
   3.197340  0.213767E+02  0.234216E+02
   3.224550  0.212076E+02  0.238002E+02
   3.251760  0.210626E+02  0.242086E+02
   3.278970  0.209409E+02  0.246525E+02
   3.306180  0.208428E+02  0.251395E+02
   3.333400  0.207679E+02  0.256798E+02
   3.360610  0.207151E+02  0.262861E+02
   3.387820  0.206807E+02  0.269758E+02
   3.415030  0.206565E+02  0.277702E+02
   3.442240  0.206273E+02  0.286944E+02
   3.469450  0.205682E+02  0.297767E+02
   3.496660  0.204390E+02  0.310467E+02
   3.523880  0.201791E+02  0.325286E+02
   3.551090  0.197062E+02  0.342265E+02
   3.578300  0.189247E+02  0.361150E+02
   3.605510  0.177389E+02  0.381330E+02
   3.632720  0.160593E+02  0.401836E+02
   3.659930  0.138098E+02  0.421244E+02
   3.687140  0.109550E+02  0.437497E+02
   3.714360  0.755898E+01  0.448022E+02
   3.741570  0.383717E+01  0.450482E+02
   3.768780  0.114970E+00  0.443805E+02
   3.795990  -0.326175E+01  0.428637E+02
   3.823200  -0.602424E+01  0.407123E+02
   3.850410  -0.803889E+01  0.382221E+02
   3.877620  -0.931809E+01  0.356949E+02
   3.904840  -0.100019E+02  0.333660E+02
   3.932050  -0.102918E+02  0.313507E+02
   3.959260  -0.103653E+02  0.296494E+02
   3.986470  -0.103356E+02  0.282097E+02
   4.013680  -0.102618E+02  0.269719E+02
   4.040890  -0.101710E+02  0.258873E+02
   4.068100  -0.100742E+02  0.249200E+02
   4.095310  -0.997503E+01  0.240448E+02
   4.122530  -0.987399E+01  0.232434E+02
   4.149740  -0.977031E+01  0.225036E+02
   4.176950  -0.966233E+01  0.218153E+02
   4.204160  -0.954746E+01  0.211712E+02
   4.231370  -0.942172E+01  0.205662E+02
   4.258580  -0.927968E+01  0.199989E+02
   4.285790  -0.911623E+01  0.194728E+02
   4.313010  -0.892938E+01  0.189959E+02
   4.340220  -0.872291E+01  0.185796E+02
   4.367430  -0.850693E+01  0.182347E+02
   4.394640  -0.829797E+01  0.179692E+02
   4.421850  -0.811798E+01  0.177863E+02
   4.449060  -0.799445E+01  0.176821E+02
   4.476270  -0.796065E+01  0.176397E+02
   4.503490  -0.804737E+01  0.176175E+02
   4.530700  -0.825560E+01  0.175480E+02
   4.557910  -0.853561E+01  0.173742E+02
   4.585120  -0.881644E+01  0.170893E+02
   4.612330  -0.905168E+01  0.167261E+02
   4.639540  -0.922652E+01  0.163227E+02
   4.666750  -0.934419E+01  0.159081E+02
   4.693970  -0.941549E+01  0.154998E+02
   4.721180  -0.945169E+01  0.151065E+02
   4.748390  -0.946119E+01  0.147316E+02
   4.775600  -0.945014E+01  0.143772E+02
   4.802810  -0.942427E+01  0.140449E+02
   4.830020  -0.938923E+01  0.137352E+02
   4.857230  -0.935009E+01  0.134474E+02
   4.884450  -0.931120E+01  0.131800E+02
   4.911660  -0.927641E+01  0.129311E+02
   4.938870  -0.924911E+01  0.126984E+02
   4.966080  -0.923269E+01  0.124794E+02
   4.993290  -0.923123E+01  0.122709E+02
   5.020500  -0.924982E+01  0.120673E+02
   5.047710  -0.929189E+01  0.118575E+02
   5.074930  -0.935334E+01  0.116268E+02
   5.102140  -0.941953E+01  0.113646E+02
   5.129350  -0.947236E+01  0.110721E+02
   5.156560  -0.949974E+01  0.107595E+02
   5.183770  -0.949798E+01  0.104389E+02
   5.210980  -0.946843E+01  0.101196E+02
   5.238190  -0.941421E+01  0.980784E+01
   5.265400  -0.933872E+01  0.950776E+01
   5.292620  -0.924547E+01  0.922244E+01
   5.319830  -0.913838E+01  0.895411E+01
   5.347040  -0.902105E+01  0.870340E+01
   5.374250  -0.889637E+01  0.847034E+01
   5.401460  -0.876671E+01  0.825488E+01
   5.428670  -0.863433E+01  0.805708E+01
   5.455880  -0.850172E+01  0.787678E+01
   5.483100  -0.837149E+01  0.771341E+01
   5.510310  -0.824646E+01  0.756594E+01
   5.537520  -0.812923E+01  0.743242E+01
   5.564730  -0.802192E+01  0.731000E+01
   5.591940  -0.792545E+01  0.719511E+01
   5.619150  -0.783923E+01  0.708437E+01
   5.646360  -0.776170E+01  0.697541E+01
   5.673580  -0.769110E+01  0.686679E+01
   5.700790  -0.762577E+01  0.675797E+01
   5.728000  -0.756439E+01  0.664904E+01
   5.755210  -0.750641E+01  0.654050E+01
   5.782420  -0.745211E+01  0.643264E+01
   5.809630  -0.740231E+01  0.632504E+01
   5.836840  -0.735786E+01  0.621624E+01
   5.864060  -0.731892E+01  0.610352E+01
   5.891270  -0.728383E+01  0.598334E+01
   5.918480  -0.724784E+01  0.585279E+01
   5.945690  -0.720407E+01  0.571295E+01
   5.972900  -0.714819E+01  0.556967E+01
   6.000110  -0.708106E+01  0.542920E+01
   6.027320  -0.700602E+01  0.529452E+01
   6.054540  -0.692570E+01  0.516603E+01
   6.081750  -0.684151E+01  0.504358E+01
   6.108960  -0.675412E+01  0.492714E+01
   6.136170  -0.666420E+01  0.481701E+01
   6.163380  -0.657266E+01  0.471344E+01
   6.190590  -0.648046E+01  0.461642E+01
   6.217800  -0.638848E+01  0.452566E+01
   6.245020  -0.629738E+01  0.444070E+01
   6.272230  -0.620768E+01  0.436110E+01
