#  Energy [eV]     Im_eps_xx
 
      0.00000     0.00000000E+00
      0.01361     0.00000000E+00
      0.02721     0.00000000E+00
      0.04082     0.00000000E+00
      0.05442     0.00000000E+00
      0.06803     0.00000000E+00
      0.08163     0.00000000E+00
      0.09524     0.00000000E+00
      0.10885     0.00000000E+00
      0.12245     0.00000000E+00
      0.13606     0.00000000E+00
      0.14966     0.00000000E+00
      0.16327     0.00000000E+00
      0.17687     0.00000000E+00
      0.19048     0.00000000E+00
      0.20409     0.00000000E+00
      0.21769     0.00000000E+00
      0.23130     0.00000000E+00
      0.24490     0.00000000E+00
      0.25851     0.00000000E+00
      0.27211     0.00000000E+00
      0.28572     0.00000000E+00
      0.29933     0.00000000E+00
      0.31293     0.00000000E+00
      0.32654     0.00000000E+00
      0.34014     0.00000000E+00
      0.35375     0.00000000E+00
      0.36735     0.00000000E+00
      0.38096     0.00000000E+00
      0.39457     0.00000000E+00
      0.40817     0.00000000E+00
      0.42178     0.00000000E+00
      0.43538     0.00000000E+00
      0.44899     0.00000000E+00
      0.46259     0.00000000E+00
      0.47620     0.00000000E+00
      0.48981     0.00000000E+00
      0.50341     0.00000000E+00
      0.51702     0.00000000E+00
      0.53062     0.00000000E+00
      0.54423     0.00000000E+00
      0.55783     0.00000000E+00
      0.57144     0.00000000E+00
      0.58504     0.00000000E+00
      0.59865     0.00000000E+00
      0.61226     0.00000000E+00
      0.62586     0.00000000E+00
      0.63947     0.00000000E+00
      0.65307     0.00000000E+00
      0.66668     0.00000000E+00
      0.68028     0.00000000E+00
      0.69389     0.00000000E+00
      0.70750     0.00000000E+00
      0.72110     0.00000000E+00
      0.73471     0.00000000E+00
      0.74831     0.00000000E+00
      0.76192     0.00000000E+00
      0.77552     0.00000000E+00
      0.78913     0.00000000E+00
      0.80274     0.00000000E+00
      0.81634     0.00000000E+00
      0.82995     0.00000000E+00
      0.84355     0.00000000E+00
      0.85716     0.00000000E+00
      0.87076     0.00000000E+00
      0.88437     0.00000000E+00
      0.89798     0.00000000E+00
      0.91158     0.00000000E+00
      0.92519     0.00000000E+00
      0.93879     0.00000000E+00
      0.95240     0.00000000E+00
      0.96600     0.00000000E+00
      0.97961     0.00000000E+00
      0.99322     0.00000000E+00
      1.00682     0.00000000E+00
      1.02043     0.00000000E+00
      1.03403     0.00000000E+00
      1.04764     0.00000000E+00
      1.06124     0.00000000E+00
      1.07485     0.00000000E+00
      1.08846     0.00000000E+00
      1.10206     0.00000000E+00
      1.11567     0.00000000E+00
      1.12927     0.00000000E+00
      1.14288     0.00000000E+00
      1.15648     0.00000000E+00
      1.17009     0.00000000E+00
      1.18370     0.00000000E+00
      1.19730     0.00000000E+00
      1.21091     0.00000000E+00
      1.22451     0.00000000E+00
      1.23812     0.00000000E+00
      1.25172     0.00000000E+00
      1.26533     0.00000000E+00
      1.27894     0.00000000E+00
      1.29254     0.00000000E+00
      1.30615     0.00000000E+00
      1.31975     0.00000000E+00
      1.33336     0.00000000E+00
      1.34696     0.00000000E+00
      1.36057     0.00000000E+00
      1.37418     0.00000000E+00
      1.38778     0.00000000E+00
      1.40139     0.00000000E+00
      1.41499     0.00000000E+00
      1.42860     0.00000000E+00
      1.44220     0.00000000E+00
      1.45581     0.00000000E+00
      1.46942     0.00000000E+00
      1.48302     0.00000000E+00
      1.49663     0.00000000E+00
      1.51023     0.00000000E+00
      1.52384     0.00000000E+00
      1.53744     0.00000000E+00
      1.55105     0.00000000E+00
      1.56466     0.00000000E+00
      1.57826     0.00000000E+00
      1.59187     0.00000000E+00
      1.60547     0.00000000E+00
      1.61908     0.00000000E+00
      1.63268     0.00000000E+00
      1.64629     0.00000000E+00
      1.65990     0.00000000E+00
      1.67350     0.00000000E+00
      1.68711     0.00000000E+00
      1.70071     0.00000000E+00
      1.71432     0.00000000E+00
      1.72792     0.00000000E+00
      1.74153     0.00000000E+00
      1.75513     0.00000000E+00
      1.76874     0.00000000E+00
      1.78235     0.00000000E+00
      1.79595     0.00000000E+00
      1.80956     0.00000000E+00
      1.82316     0.00000000E+00
      1.83677     0.00000000E+00
      1.85037     0.00000000E+00
      1.86398     0.00000000E+00
      1.87759     0.00000000E+00
      1.89119     0.00000000E+00
      1.90480     0.00000000E+00
      1.91840     0.00000000E+00
      1.93201     0.00000000E+00
      1.94561     0.00000000E+00
      1.95922     0.00000000E+00
      1.97283     0.00000000E+00
      1.98643     0.00000000E+00
      2.00004     0.00000000E+00
      2.01364     0.00000000E+00
      2.02725     0.00000000E+00
      2.04085     0.00000000E+00
      2.05446     0.00000000E+00
      2.06807     0.00000000E+00
      2.08167     0.00000000E+00
      2.09528     0.00000000E+00
      2.10888     0.00000000E+00
      2.12249     0.00000000E+00
      2.13609     0.00000000E+00
      2.14970     0.00000000E+00
      2.16331     0.00000000E+00
      2.17691     0.00000000E+00
      2.19052     0.00000000E+00
      2.20412     0.00000000E+00
      2.21773     0.00000000E+00
      2.23133     0.00000000E+00
      2.24494     0.00000000E+00
      2.25855     0.00000000E+00
      2.27215     0.00000000E+00
      2.28576     0.00000000E+00
      2.29936     0.00000000E+00
      2.31297     0.00000000E+00
      2.32657     0.00000000E+00
      2.34018     0.00000000E+00
      2.35379     0.00000000E+00
      2.36739     0.00000000E+00
      2.38100     0.00000000E+00
      2.39460     0.00000000E+00
      2.40821     0.00000000E+00
      2.42181     0.00000000E+00
      2.43542     0.00000000E+00
      2.44903     0.00000000E+00
      2.46263     0.00000000E+00
      2.47624     0.00000000E+00
      2.48984     0.00000000E+00
      2.50345     0.00000000E+00
      2.51705     0.00000000E+00
      2.53066     0.00000000E+00
      2.54427     0.36133003E-02
      2.55787     0.18463441E+00
      2.57148     0.99997778E+00
      2.58508     0.26668901E+01
      2.59869     0.61800960E+01
      2.61229     0.84447503E+01
      2.62590     0.13255893E+02
      2.63951     0.17374581E+02
      2.65311     0.21777406E+02
      2.66672     0.21820810E+02
      2.68032     0.20676242E+02
      2.69393     0.20007008E+02
      2.70753     0.19331196E+02
      2.72114     0.18806670E+02
      2.73475     0.18588380E+02
      2.74835     0.18821129E+02
      2.76196     0.19275820E+02
      2.77556     0.19783798E+02
      2.78917     0.20503344E+02
      2.80277     0.21713323E+02
      2.81638     0.21553029E+02
      2.82999     0.21643793E+02
      2.84359     0.21753922E+02
      2.85720     0.21193770E+02
      2.87080     0.21311955E+02
      2.88441     0.21487900E+02
      2.89801     0.23088921E+02
      2.91162     0.21696551E+02
      2.92522     0.21651376E+02
      2.93883     0.21685126E+02
      2.95244     0.21814168E+02
      2.96604     0.22156592E+02
      2.97965     0.22680171E+02
      2.99325     0.22198145E+02
      3.00686     0.22149376E+02
      3.02046     0.22337531E+02
      3.03407     0.22715965E+02
      3.04768     0.22816950E+02
      3.06128     0.22913134E+02
      3.07489     0.22989085E+02
      3.08849     0.23101683E+02
      3.10210     0.23218473E+02
      3.11570     0.23344991E+02
      3.12931     0.23472728E+02
      3.14292     0.23499680E+02
      3.15652     0.23514801E+02
      3.17013     0.23603026E+02
      3.18373     0.23727314E+02
