# Energy [eV]  reflect_xx

   0.013610  0.325710E+00
   0.040820  0.325730E+00
   0.068030  0.325770E+00
   0.095240  0.325829E+00
   0.122450  0.325908E+00
   0.149660  0.326006E+00
   0.176870  0.326124E+00
   0.204090  0.326262E+00
   0.231300  0.326419E+00
   0.258510  0.326596E+00
   0.285720  0.326793E+00
   0.312930  0.327011E+00
   0.340140  0.327248E+00
   0.367350  0.327505E+00
   0.394570  0.327783E+00
   0.421780  0.328082E+00
   0.448990  0.328401E+00
   0.476200  0.328740E+00
   0.503410  0.329101E+00
   0.530620  0.329483E+00
   0.557830  0.329886E+00
   0.585040  0.330311E+00
   0.612260  0.330758E+00
   0.639470  0.331227E+00
   0.666680  0.331718E+00
   0.693890  0.332231E+00
   0.721100  0.332767E+00
   0.748310  0.333326E+00
   0.775520  0.333909E+00
   0.802740  0.334516E+00
   0.829950  0.335146E+00
   0.857160  0.335801E+00
   0.884370  0.336481E+00
   0.911580  0.337185E+00
   0.938790  0.337916E+00
   0.966000  0.338672E+00
   0.993220  0.339456E+00
   1.020430  0.340265E+00
   1.047640  0.341103E+00
   1.074850  0.341969E+00
   1.102060  0.342863E+00
   1.129270  0.343786E+00
   1.156480  0.344739E+00
   1.183700  0.345723E+00
   1.210910  0.346738E+00
   1.238120  0.347785E+00
   1.265330  0.348864E+00
   1.292540  0.349977E+00
   1.319750  0.351125E+00
   1.346960  0.352308E+00
   1.374180  0.353527E+00
   1.401390  0.354783E+00
   1.428600  0.356078E+00
   1.455810  0.357412E+00
   1.483020  0.358787E+00
   1.510230  0.360204E+00
   1.537440  0.361664E+00
   1.564660  0.363170E+00
   1.591870  0.364721E+00
   1.619080  0.366321E+00
   1.646290  0.367971E+00
   1.673500  0.369672E+00
   1.700710  0.371427E+00
   1.727920  0.373239E+00
   1.755130  0.375109E+00
   1.782350  0.377040E+00
   1.809560  0.379035E+00
   1.836770  0.381097E+00
   1.863980  0.383229E+00
   1.891190  0.385435E+00
   1.918400  0.387718E+00
   1.945610  0.390084E+00
   1.972830  0.392537E+00
   2.000040  0.395081E+00
   2.027250  0.397724E+00
   2.054460  0.400470E+00
   2.081670  0.403329E+00
   2.108880  0.406307E+00
   2.136090  0.409414E+00
   2.163310  0.412662E+00
   2.190520  0.416060E+00
   2.217730  0.419622E+00
   2.244940  0.423365E+00
   2.272150  0.427307E+00
   2.299360  0.431468E+00
   2.326570  0.435873E+00
   2.353790  0.440551E+00
   2.381000  0.445530E+00
   2.408210  0.450847E+00
   2.435420  0.456535E+00
   2.462630  0.462621E+00
   2.489840  0.469107E+00
   2.517050  0.475929E+00
   2.544270  0.482905E+00
   2.571480  0.489666E+00
   2.598690  0.495694E+00
   2.625900  0.500473E+00
   2.653110  0.503742E+00
   2.680320  0.505659E+00
   2.707530  0.506712E+00
   2.734750  0.507403E+00
   2.761960  0.508016E+00
   2.789170  0.508600E+00
   2.816380  0.509110E+00
   2.843590  0.509525E+00
   2.870800  0.509883E+00
   2.898010  0.510230E+00
   2.925220  0.510614E+00
   2.952440  0.511088E+00
   2.979650  0.511681E+00
   3.006860  0.512397E+00
   3.034070  0.513237E+00
   3.061280  0.514194E+00
   3.088490  0.515263E+00
   3.115700  0.516447E+00
   3.142920  0.517765E+00
   3.170130  0.519240E+00
   3.197340  0.520900E+00
   3.224550  0.522767E+00
   3.251760  0.524860E+00
   3.278970  0.527201E+00
   3.306180  0.529820E+00
   3.333400  0.532760E+00
   3.360610  0.536075E+00
   3.387820  0.539834E+00
   3.415030  0.544119E+00
   3.442240  0.549017E+00
   3.469450  0.554621E+00
   3.496660  0.561022E+00
   3.523880  0.568283E+00
   3.551090  0.576404E+00
   3.578300  0.585319E+00
   3.605510  0.594916E+00
   3.632720  0.605077E+00
   3.659930  0.615661E+00
   3.687140  0.626442E+00
   3.714360  0.637053E+00
   3.741570  0.647001E+00
   3.768780  0.655800E+00
   3.795990  0.663011E+00
   3.823200  0.668277E+00
   3.850410  0.671367E+00
   3.877620  0.672264E+00
   3.904840  0.671309E+00
   3.932050  0.669148E+00
   3.959260  0.666423E+00
   3.986470  0.663563E+00
   4.013680  0.660782E+00
   4.040890  0.658159E+00
   4.068100  0.655701E+00
   4.095310  0.653388E+00
   4.122530  0.651186E+00
   4.149740  0.649060E+00
   4.176950  0.646971E+00
   4.204160  0.644870E+00
   4.231370  0.642689E+00
   4.258580  0.640345E+00
   4.285790  0.637753E+00
   4.313010  0.634863E+00
   4.340220  0.631707E+00
   4.367430  0.628416E+00
   4.394640  0.625227E+00
   4.421850  0.622479E+00
   4.449060  0.620593E+00
   4.476270  0.620053E+00
   4.503490  0.621251E+00
   4.530700  0.624124E+00
