# Energy [eV]  ref_ind_xx  extinct_xx
   0.013610  0.365870E+01  0.226275E-01
   0.040820  0.365889E+01  0.229758E-01
   0.068030  0.365926E+01  0.233313E-01
   0.095240  0.365982E+01  0.236944E-01
   0.122450  0.366056E+01  0.240652E-01
   0.149660  0.366149E+01  0.244440E-01
   0.176870  0.366261E+01  0.248312E-01
   0.204090  0.366392E+01  0.252269E-01
   0.231300  0.366541E+01  0.256314E-01
   0.258510  0.366709E+01  0.260450E-01
   0.285720  0.366896E+01  0.264680E-01
   0.312930  0.367103E+01  0.269007E-01
   0.340140  0.367329E+01  0.273436E-01
   0.367350  0.367574E+01  0.277968E-01
   0.394570  0.367839E+01  0.282611E-01
   0.421780  0.368123E+01  0.287363E-01
   0.448990  0.368428E+01  0.292232E-01
   0.476200  0.368752E+01  0.297220E-01
   0.503410  0.369097E+01  0.302333E-01
   0.530620  0.369463E+01  0.307576E-01
   0.557830  0.369849E+01  0.312952E-01
   0.585040  0.370257E+01  0.318467E-01
   0.612260  0.370686E+01  0.324129E-01
   0.639470  0.371136E+01  0.329939E-01
   0.666680  0.371609E+01  0.335905E-01
   0.693890  0.372104E+01  0.342033E-01
   0.721100  0.372621E+01  0.348330E-01
   0.748310  0.373162E+01  0.354803E-01
   0.775520  0.373726E+01  0.361459E-01
   0.802740  0.374314E+01  0.368309E-01
   0.829950  0.374926E+01  0.375355E-01
   0.857160  0.375563E+01  0.382609E-01
   0.884370  0.376226E+01  0.390080E-01
   0.911580  0.376914E+01  0.397777E-01
   0.938790  0.377628E+01  0.405711E-01
   0.966000  0.378369E+01  0.413893E-01
   0.993220  0.379138E+01  0.422338E-01
   1.020430  0.379935E+01  0.431051E-01
   1.047640  0.380761E+01  0.440049E-01
   1.074850  0.381616E+01  0.449346E-01
   1.102060  0.382502E+01  0.458956E-01
   1.129270  0.383419E+01  0.468897E-01
   1.156480  0.384367E+01  0.479184E-01
   1.183700  0.385349E+01  0.489840E-01
   1.210910  0.386365E+01  0.500876E-01
   1.238120  0.387415E+01  0.512319E-01
   1.265330  0.388501E+01  0.524189E-01
   1.292540  0.389624E+01  0.536512E-01
   1.319750  0.390785E+01  0.549314E-01
   1.346960  0.391985E+01  0.562622E-01
   1.374180  0.393227E+01  0.576473E-01
   1.401390  0.394510E+01  0.590890E-01
   1.428600  0.395837E+01  0.605914E-01
   1.455810  0.397210E+01  0.621583E-01
   1.483020  0.398629E+01  0.637940E-01
   1.510230  0.400098E+01  0.655032E-01
   1.537440  0.401617E+01  0.672909E-01
   1.564660  0.403190E+01  0.691634E-01
   1.591870  0.404817E+01  0.711255E-01
   1.619080  0.406503E+01  0.731845E-01
   1.646290  0.408248E+01  0.753480E-01
   1.673500  0.410056E+01  0.776241E-01
   1.700710  0.411931E+01  0.800219E-01
   1.727920  0.413875E+01  0.825518E-01
   1.755130  0.415892E+01  0.852249E-01
   1.782350  0.417986E+01  0.880553E-01
   1.809560  0.420161E+01  0.910551E-01
   1.836770  0.422421E+01  0.942415E-01
   1.863980  0.424772E+01  0.976331E-01
   1.891190  0.427219E+01  0.101251E+00
   1.918400  0.429768E+01  0.105118E+00
   1.945610  0.432426E+01  0.109263E+00
   1.972830  0.435201E+01  0.113720E+00
   2.000040  0.438099E+01  0.118521E+00
   2.027250  0.441131E+01  0.123712E+00
   2.054460  0.444306E+01  0.129345E+00
   2.081670  0.447636E+01  0.135480E+00
   2.108880  0.451134E+01  0.142189E+00
   2.136090  0.454814E+01  0.149561E+00
   2.163310  0.458695E+01  0.157705E+00
   2.190520  0.462793E+01  0.166748E+00
   2.217730  0.467129E+01  0.176855E+00
   2.244940  0.471731E+01  0.188234E+00
   2.272150  0.476625E+01  0.201147E+00
   2.299360  0.481846E+01  0.215937E+00
   2.326570  0.487430E+01  0.233052E+00
   2.353790  0.493424E+01  0.253103E+00
   2.381000  0.499871E+01  0.276895E+00
   2.408210  0.506821E+01  0.305570E+00
   2.435420  0.514317E+01  0.340724E+00
   2.462630  0.522379E+01  0.384602E+00
   2.489840  0.530962E+01  0.440316E+00
   2.517050  0.539879E+01  0.511896E+00
   2.544270  0.548684E+01  0.603725E+00
   2.571480  0.556560E+01  0.718392E+00
   2.598690  0.562434E+01  0.853590E+00
   2.625900  0.565390E+01  0.999833E+00
   2.653110  0.565238E+01  0.114274E+01
   2.680320  0.562728E+01  0.126995E+01
   2.707530  0.559067E+01  0.137731E+01
   2.734750  0.555179E+01  0.146829E+01
   2.761960  0.551415E+01  0.154848E+01
   2.789170  0.547738E+01  0.162158E+01
